file,bytes,n_playlists,n_tracks,parse_s
mpd.slice.287000-287999.json,33068537,1000,65311,0.3791245419997722
mpd.slice.288000-288999.json,32837997,1000,64981,0.3771717910130974
mpd.slice.289000-289999.json,33552616,1000,66363,0.3891824590100441
mpd.slice.29000-29999.json,34212897,1000,67684,0.3948726670059841
mpd.slice.290000-290999.json,31194762,1000,61701,0.36145133298123255
mpd.slice.291000-291999.json,34107029,1000,67522,0.3967201669875067
mpd.slice.292000-292999.json,32938765,1000,65098,0.3790548339893576
mpd.slice.293000-293999.json,31808952,1000,62885,0.3688742079830263
mpd.slice.294000-294999.json,34760174,1000,68750,0.40689191699493676
mpd.slice.295000-295999.json,33843182,1000,67046,0.40086333302315325
mpd.slice.296000-296999.json,32361888,1000,63947,0.38838279101764783
mpd.slice.297000-297999.json,33873189,1000,67048,0.3968822500028182
mpd.slice.298000-298999.json,33160443,1000,65573,0.39617799999541603
mpd.slice.299000-299999.json,33448389,1000,66159,0.39503495799726807
mpd.slice.3000-3999.json,33619804,1000,66512,0.4122467080014758
mpd.slice.30000-30999.json,34984930,1000,69264,0.4148483749886509
mpd.slice.300000-300999.json,36166383,1000,71616,0.4258148329972755
mpd.slice.301000-301999.json,34029223,1000,67330,0.40416595799615607
mpd.slice.302000-302999.json,33818795,1000,66847,0.39843329100403935
mpd.slice.303000-303999.json,33304208,1000,65879,0.39197112500551157
mpd.slice.304000-304999.json,33596565,1000,66486,0.3992360410047695
mpd.slice.305000-305999.json,32670835,1000,64655,0.39087316699442454
mpd.slice.306000-306999.json,33783770,1000,66854,0.4053556250000838
mpd.slice.307000-307999.json,32662094,1000,64537,0.393215499992948
mpd.slice.308000-308999.json,34447537,1000,68176,0.3999244579754304
mpd.slice.309000-309999.json,32841450,1000,64946,0.3819352919817902
mpd.slice.31000-31999.json,32592365,1000,64391,0.3740303329832386
mpd.slice.310000-310999.json,31718930,1000,62688,0.36821987500297837
mpd.slice.311000-311999.json,33389053,1000,66047,0.38839229199220426
mpd.slice.312000-312999.json,33677507,1000,66578,0.39895775000331923
mpd.slice.313000-313999.json,32426157,1000,64116,0.38133816700428724
mpd.slice.314000-314999.json,33619653,1000,66514,0.39011908299289644
mpd.slice.315000-315999.json,33329540,1000,65880,0.40072170802159235
mpd.slice.316000-316999.json,31397635,1000,62071,0.36702199999126606
mpd.slice.317000-317999.json,33321846,1000,65931,0.3865381659998093
mpd.slice.318000-318999.json,34465921,1000,68206,0.4004332080075983
mpd.slice.319000-319999.json,34193923,1000,67691,0.39517100001103245
mpd.slice.32000-32999.json,34139867,1000,67548,0.3953455830051098
mpd.slice.320000-320999.json,33085631,1000,65492,0.38920187499024905
mpd.slice.321000-321999.json,31562671,1000,62358,0.3719827920140233
mpd.slice.322000-322999.json,32850961,1000,65039,0.39199091598857194
mpd.slice.323000-323999.json,33030336,1000,65413,0.39252666602260433
mpd.slice.324000-324999.json,33637680,1000,66540,0.3906486659834627
mpd.slice.325000-325999.json,33259778,1000,65747,0.4102884169842582
mpd.slice.326000-326999.json,32582997,1000,64421,0.3782302500039805
mpd.slice.327000-327999.json,33082463,1000,65402,0.38887216700823046
mpd.slice.328000-328999.json,33873472,1000,66997,0.393596375011839
mpd.slice.329000-329999.json,32149691,1000,63518,0.37068629200803116
mpd.slice.33000-33999.json,33939150,1000,67080,0.39304508300847374
mpd.slice.330000-330999.json,31609803,1000,62530,0.3649241249950137
mpd.slice.331000-331999.json,33828086,1000,66920,0.39909854202414863
mpd.slice.332000-332999.json,34313697,1000,67904,0.42928637500153854
mpd.slice.333000-333999.json,33633010,1000,66539,0.394309791008709
mpd.slice.334000-334999.json,33984358,1000,67278,0.42940845899283886
mpd.slice.335000-335999.json,34526904,1000,68357,0.4075844170001801
mpd.slice.336000-336999.json,33530155,1000,66378,0.38049387498176657
mpd.slice.337000-337999.json,33779669,1000,66809,0.37893429200630635
mpd.slice.338000-338999.json,32921511,1000,65104,0.3698040419840254
mpd.slice.339000-339999.json,32321399,1000,63964,0.3652076250000391
mpd.slice.34000-34999.json,33353255,1000,66008,0.37568437500158325
mpd.slice.340000-340999.json,32902011,1000,65056,0.3689346250030212
mpd.slice.341000-341999.json,31000704,1000,61163,0.3778018750017509
mpd.slice.342000-342999.json,34503826,1000,68333,0.4167351670039352
mpd.slice.343000-343999.json,33878752,1000,67041,0.3923962919798214
mpd.slice.344000-344999.json,32344281,1000,63979,0.42312320799101144
mpd.slice.345000-345999.json,32694996,1000,64618,0.3790170419961214
mpd.slice.346000-346999.json,34614408,1000,68504,0.4165108340093866
mpd.slice.347000-347999.json,33689468,1000,66611,0.3990525830013212
mpd.slice.348000-348999.json,34860769,1000,68918,0.4010777919902466
mpd.slice.349000-349999.json,33159421,1000,65567,0.3807763749791775
mpd.slice.35000-35999.json,33586250,1000,66511,0.40699212497565895
mpd.slice.350000-350999.json,34301275,1000,67911,0.38818591699237004
mpd.slice.351000-351999.json,33995552,1000,67167,0.4012418749916833
mpd.slice.352000-352999.json,33404092,1000,66052,0.416786374989897
mpd.slice.353000-353999.json,33477381,1000,66178,0.3907052080030553
mpd.slice.354000-354999.json,33800686,1000,66900,0.37906770801055245
mpd.slice.355000-355999.json,32963274,1000,65185,0.38200287500512786
mpd.slice.356000-356999.json,34335630,1000,67935,0.3876925829972606
mpd.slice.357000-357999.json,34554303,1000,68345,0.39499087500735186
mpd.slice.358000-358999.json,32932357,1000,65101,0.3884356249764096
mpd.slice.359000-359999.json,33864174,1000,67072,0.41164579198812135
mpd.slice.36000-36999.json,33139608,1000,65544,0.3786966250045225
mpd.slice.360000-360999.json,33795788,1000,66782,0.3782952500041574
mpd.slice.361000-361999.json,35430129,1000,70146,0.40206545899854973
mpd.slice.362000-362999.json,32846773,1000,64961,0.37013650001608767
mpd.slice.363000-363999.json,33563029,1000,66327,0.3771592499979306
mpd.slice.364000-364999.json,32425305,1000,64055,0.36396279200562276
mpd.slice.365000-365999.json,34146677,1000,67567,0.38593575000413693
mpd.slice.366000-366999.json,32722779,1000,64702,0.36774087499361485
mpd.slice.367000-367999.json,34529714,1000,68364,0.3890024999855086
mpd.slice.368000-368999.json,33187817,1000,65592,0.37443208301556297
mpd.slice.369000-369999.json,33938539,1000,67093,0.3805262079986278
mpd.slice.37000-37999.json,34185983,1000,67568,0.4316279159975238
mpd.slice.370000-370999.json,35398863,1000,70014,0.46048691699979827
mpd.slice.371000-371999.json,33036681,1000,65337,0.4279744999948889
mpd.slice.372000-372999.json,34400988,1000,68078,0.46124295800109394
mpd.slice.373000-373999.json,33771166,1000,66754,0.41740249999566004
mpd.slice.374000-374999.json,31787794,1000,62768,0.38409541701548733
mpd.slice.375000-375999.json,33166701,1000,65614,0.40320583299035206
mpd.slice.376000-376999.json,30477884,1000,60184,0.3586209590139333
mpd.slice.377000-377999.json,33870770,1000,67023,0.4175297500041779
mpd.slice.378000-378999.json,32578893,1000,64254,0.3873944159713574
mpd.slice.379000-379999.json,33603638,1000,66391,0.37798262501019053
mpd.slice.38000-38999.json,32075845,1000,63364,0.35792599999695085
mpd.slice.380000-380999.json,32570706,1000,64425,0.3893123340094462
mpd.slice.381000-381999.json,31485795,1000,62180,0.3850295420270413
